fare_amount_id,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
68849,10.5,0.0,0.5,2.82,0.0,0.3,14.12
68850,25.5,0.0,0.5,7.89,0.0,0.3,34.19
68851,11.5,0.0,0.5,0.0,0.0,0.3,12.3
68852,14.0,0.0,0.5,4.07,5.54,0.3,24.41
68853,10.5,0.0,0.5,2.26,0.0,0.3,13.56
68854,14.0,0.0,0.5,0.0,0.0,0.3,14.8
68855,17.0,0.0,0.5,4.5,0.0,0.3,22.3
68856,9.5,0.0,0.5,2.58,0.0,0.3,12.88
68857,15.0,0.0,0.5,3.16,0.0,0.3,18.96
68858,7.5,0.0,0.5,1.66,0.0,0.3,9.96
68859,7.0,0.0,0.5,1.56,0.0,0.3,9.36
68860,9.0,0.0,0.5,1.96,0.0,0.3,11.76
68861,14.0,0.0,0.5,2.96,0.0,0.3,17.76
68862,9.5,0.0,0.5,2.06,0.0,0.3,12.36
68863,11.5,0.0,0.5,0.0,0.0,0.3,12.3
68864,9.5,0.0,0.5,2.06,0.0,0.3,12.36
68865,11.0,0.0,0.5,1.0,0.0,0.3,12.8
68866,52.0,0.0,0.5,10.56,0.0,0.3,63.36
68867,14.0,0.0,0.5,0.0,0.0,0.3,14.8
68868,11.5,0.0,0.5,2.46,0.0,0.3,14.76
68869,38.0,0.0,0.5,11.08,5.54,0.3,55.42
68870,7.5,0.0,0.5,2.08,0.0,0.3,10.38
68871,25.5,0.0,0.5,2.7,0.0,0.3,29.0
68872,13.5,0.0,0.5,2.86,0.0,0.3,17.16
68873,4.0,0.0,0.5,0.96,0.0,0.3,5.76
68874,14.0,0.0,0.5,0.0,0.0,0.3,14.8
68875,12.5,0.0,0.5,2.0,0.0,0.3,15.3
68876,5.5,0.0,0.5,0.0,0.0,0.3,6.3
68877,10.5,0.0,0.5,2.26,0.0,0.3,13.56
68878,7.5,0.0,0.5,0.0,0.0,0.3,8.3
68879,8.5,0.0,0.5,0.0,0.0,0.3,9.3
68880,6.0,0.0,0.5,0.0,0.0,0.3,6.8
68881,8.0,0.0,0.5,2.2,0.0,0.3,11.0
68882,14.0,0.0,0.5,2.96,0.0,0.3,17.76
68883,6.5,0.0,0.5,0.0,0.0,0.3,7.3
68884,5.5,0.0,0.5,0.0,0.0,0.3,6.3
68885,13.0,0.0,0.5,0.0,0.0,0.3,13.8
68886,15.5,0.0,0.5,3.26,0.0,0.3,19.56
68887,12.5,0.0,0.5,3.32,0.0,0.3,16.62
68888,52.0,0.0,0.5,0.0,5.54,0.3,58.34
68889,10.5,0.0,0.5,2.82,0.0,0.3,14.12
68890,38.0,0.0,0.5,6.0,0.0,0.3,44.8
68891,7.0,0.0,0.5,1.56,0.0,0.3,9.36
68892,15.5,0.0,0.5,3.26,0.0,0.3,19.56
68893,14.5,0.0,0.5,0.0,0.0,0.3,15.3
68894,10.5,0.0,0.5,2.82,0.0,0.3,14.12
68895,37.5,0.0,0.5,0.0,5.54,0.3,43.84
68896,4.5,0.0,0.5,0.0,0.0,0.3,5.3
68897,11.5,0.0,0.5,2.46,0.0,0.3,14.76
68898,8.0,0.0,0.5,2.2,0.0,0.3,11.0
68899,15.0,0.0,0.5,0.0,0.0,0.3,15.8
68900,4.5,0.0,0.5,0.0,0.0,0.3,5.3
68901,6.0,0.0,0.5,0.0,0.0,0.3,6.8
68902,7.0,0.0,0.5,1.56,0.0,0.3,9.36
68903,13.0,0.0,0.5,0.0,0.0,0.3,13.8
68904,6.5,0.0,0.5,1.46,0.0,0.3,8.76
68905,8.5,0.0,0.5,1.86,0.0,0.3,11.16
68906,5.0,0.0,0.5,1.16,0.0,0.3,6.96
68907,4.0,0.0,0.5,0.0,0.0,0.3,4.8
68908,10.5,0.0,0.5,0.0,0.0,0.3,11.3
68909,11.0,0.0,0.5,0.0,0.0,0.3,11.8
68910,4.5,0.0,0.5,0.0,0.0,0.3,5.3
68911,6.5,0.0,0.5,2.7,0.0,0.3,10.0
68912,5.0,0.0,0.5,3.0,0.0,0.3,8.8
68913,2.5,0.0,0.5,0.0,0.0,0.3,3.3
68914,-2.5,0.0,-0.5,0.0,0.0,-0.3,-3.3
68915,11.0,0.0,0.5,2.36,0.0,0.3,14.16
68916,4.0,0.0,0.5,0.0,0.0,0.3,4.8
68917,8.0,0.0,0.5,0.0,0.0,0.3,8.8
68918,5.0,0.0,0.5,1.16,0.0,0.3,6.96
68919,6.0,0.0,0.5,2.04,0.0,0.3,8.84
68920,10.5,0.0,0.5,0.0,0.0,0.3,11.3
68921,7.5,0.0,0.5,2.49,0.0,0.3,10.79
68922,19.0,0.0,0.5,0.0,0.0,0.3,19.8
